name,kind,elev_m,lon,lat
Mount Lamlam,mountain,406,144.68337,13.35126
Mount Lister,mountain,4023,162.68977,-78.06001
Mount Logan,mountain,5959,-140.41202,60.5798
Mount Macdonald,mountain,2760,-132.8012,64.75079
Mount Mantalingajan,mountain,2085,117.67651,8.84578
Mount Marcy,mountain,1269,-73.9274,44.1338
Mount McMaster,mountain,2830,51.95214,-66.76346
Mount Meharry,mountain,1253,118.5833,-22.96671
Mount Minto,mountain,4166,168.75739,-71.76975
Mount Misery,mountain,1156,-62.80679,17.36671
Mount Mitchell,mountain,2037,-82.26806,35.76471
Mount Moresby,mountain,1164,-132.08279,53.02601
Mount Ngerchelchauus,mountain,242,134.59,7.59009
Mount Nirvana,mountain,2773,-127.6873,61.86889
Mount Obama,mountain,402,-61.83671,17.04341
Mount Odin,mountain,2143,-65.43806,66.5647
Mount Oku,mountain,3011,10.5166,6.18349
Mount Olympus,mountain,2917,22.35012,40.08325
Mount Olympus,mountain,2429,-123.71761,47.8117
Mount Ord,mountain,937,125.54996,-17.32998
Mount Osborn,mountain,1437,-165.34598,65.00239
Mount Ossa,mountain,1617,146.03333,-41.87102
Mount Paget,mountain,2915,-36.55081,-54.4223
Mount Peale,mountain,3877,-109.23004,38.44
Mount Pinatubo,mountain,1486,120.3497,15.14178
Mount Popomanaseu,mountain,2335,160.0648,-9.70211
Mount Rainier,mountain,4392,-121.76,46.84997
Mount Ramlo,mountain,2248,41.72782,13.39242
Mount Richard-Molard,mountain,1752,-8.4138,7.61969
Mount Robson,mountain,3954,-119.15502,53.11046
Mount Rogers,mountain,1746,-81.56202,36.67703
Mount Roosevelt,mountain,2972,-125.33441,58.44264
Mount Roraima,mountain,2772,-60.76262,5.14333
Mount Ruapehu,mountain,2797,175.56677,-39.28329
Mount Sage,mountain,521,-64.65341,18.41668
Mount Saint Catherine,mountain,840,-61.6768,12.16326
Mount San Lorenzo,mountain,2271,-2.93779,42.2463
Mount Scenery,mountain,870,-63.24003,17.63006
Mount Seelig,mountain,3022,-103.90001,-82.47005
Mount Shasta,mountain,4322,-122.19501,41.40931
Mount Sidley,mountain,4285,-126.06651,-77.03156
Mount Sir Sandford,mountain,3519,-117.88592,51.664
Mount Stanley,mountain,4979,29.87209,0.38011
Mount Tabwemasana,mountain,1877,166.75122,-15.35233
Mount Takahe,mountain,3460,-112.09987,-76.27285
Mount Tapuaenuku,mountain,2885,173.65996,-42.00003
Mount Taranaki,mountain,2518,174.06485,-39.2963
Mount Usborne,mountain,705,-58.84191,-51.70208
Mount Victoria,mountain,3053,93.91737,21.24317
Mount Victoria,mountain,4038,147.54277,-8.89606
Mount Vsevidof,mountain,2149,-168.70842,53.14819
Mount Waddington,mountain,4019,-125.26219,51.37237
Mount Warning,mountain,1156,153.27086,-28.39711
Mount Washington,mountain,1917,-71.30744,44.26729
Mount Whitney,mountain,4421,-118.29222,36.58272
Mount Wilhelm,mountain,4509,145.03324,-5.80013
Mount Wuteve,mountain,1380,-9.86006,8.14006
Mount Zeil,mountain,1531,132.40005,-23.39995
Moussa Ali,mountain,2021,42.40995,12.45008
Mowdok Mual,mountain,1052,92.62,21.88006
Mtorwi,mountain,2980,34.02006,-9.08
Muleta,mountain,3405,41.73356,9.26888
Mulhacén,mountain,3479,-3.31137,37.05138
Munkh Khairkhan,mountain,4231,91.4652,46.89008
Murray Hill,mountain,356,105.6168,-10.48563
Musala,mountain,2925,23.58683,42.17982
Muztag Feng,mountain,6973,87.4132,36.4165
Myinmoletkat Taung,mountain,2072,98.813,13.48059
Namcha Barwa,mountain,7782,95.06571,29.643
Nanda Devi,mountain,7817,79.97097,30.54248
Nanfengmian,mountain,2140,114.03989,26.31001
Nanga Parbat,mountain,8125,74.59001,35.23998
Nevado Auzangate,mountain,6372,-71.23332,-13.80008
Nevado Coropuna,mountain,6425,-72.65002,-15.51664
Nevado del Ruiz,mountain,5311,-75.32233,4.89997
Nevado Huascarán,mountain,6768,-77.60901,-9.12136
Nevado Illimani,mountain,6402,-67.78473,-16.65383
Nevado Ojos del Salado,mountain,6880,-68.54224,-27.10959
Nevado Sajama,mountain,6542,-68.89421,-18.10187
Newtontoppen,mountain,1713,16.81211,79.13868
Nganglong Kangri,mountain,6720,80.99991,32.8166
Ngihneni,mountain,791,158.23094,6.87471
Ngoc Linh,mountain,2598,108.015,15.16165
Nowshak,mountain,7492,71.78109,36.42212
Nun,mountain,7135,76.02447,33.98436
Nyainqentanglha Feng,mountain,7162,90.58854,30.3902
Obasta Tsukai,mountain,3452,69.9369,31.69441
Oksskolten,mountain,1916,14.3374,66.0245
Olavtoppen,mountain,780,3.40001,-54.41987
Olympus,mountain,1951,32.87463,34.96576
Otgon Tenger,mountain,4000,97.55019,47.59996
Outlook Peak,mountain,2210,-91.41897,79.7555
Paektu-san,mountain,2744,128.09002,41.99999
Paishidin,mountain,1895,113.01605,24.92983
Perserajoq,mountain,2259,-51.98742,71.37287
Petite Rivière Noire Peak,mountain,828,57.47601,-20.40386
Phnom Aural,mountain,1813,104.17562,12.05093
Phou Bia,mountain,2830,103.13998,18.97999
Phu Soai Dao,mountain,2120,101.01006,17.72999
Pic Bette,mountain,2266,19.21,22.02999
Pic Boby,mountain,2658,46.88332,-22.19991
Pic de Coma Pedrosa,mountain,2943,1.43981,42.59011
Pic du Paradis,mountain,420,-63.05003,18.0801
Pic la Selle,mountain,2680,-71.98004,18.35997
Picacho del Diablo,mountain,3069,-115.382,30.98792
Pico Alto,mountain,2351,-28.40004,38.46997
Pico Bolívar,mountain,4980,-71.05273,8.55286
Pico Cristóbal Colón,mountain,5775,-73.69244,10.8425
Pico da Bandeira,mountain,2890,-41.79643,-20.43537
Pico da Neblina,mountain,3014,-66.03331,0.80002
Pico da Pedra da Mina,mountain,2798,-44.84001,-22.42982
Pico de Almanzor,mountain,2592,-5.30001,40.26009
Pico de Aneto,mountain,3404,0.66308,42.6322
Pico de Cano,mountain,2829,-24.40252,14.94878
Pico de Orizaba,mountain,5636,-97.2783,19.03399
Pico de Santa Isabel,mountain,3008,8.76005,3.59011
Pico de São Tomé,mountain,2024,6.55435,0.28196
Pico del Teide,mountain,3718,-16.6391,28.27082
Pico do Jabre,mountain,1197,-37.38244,-7.2455
Pico Duarte,mountain,3098,-70.99808,19.02288
Pico El Yunque,mountain,1055,-65.80005,18.3105
Pico Mogotón,mountain,2106,-86.39139,13.76382
Pico Naiguatá,mountain,2765,-66.78003,10.53996
Pico Paraná,mountain,1877,-48.8261,-25.25578
Pico Serra Branca,mountain,1154,-40.1409,-4.79098
Pico Turquino,mountain,1974,-76.8358,19.98949
Pidurutalagala,mountain,2524,80.77396,7.00069
Pik Aborigen,mountain,2586,149.50838,61.97399
Pik BAM,mountain,3072,117.57997,56.85997
Pik Imeni Ismail Samani,mountain,7495,72.02175,38.93237
Pik Karakol,mountain,5216,78.45992,42.15998
Pik Pobeda,mountain,7439,80.13003,42.03998
Pik Talghar,mountain,4979,77.33122,43.10547
Pipa Dingzi,mountain,1397,128.16992,43.99001
Piton des Neiges,mountain,3069,55.48729,-21.10441
Psiloritis,mountain,2456,24.76998,35.23
Puig Mayor,mountain,1445,2.796,39.80847
Pulog,mountain,2934,120.90533,16.5964
Pummel Peak,mountain,2018,-103.24434,29.29163
Puncak Jaya,mountain,4884,137.16625,-4.07767
Punta la Marmora,mountain,1834,9.31738,40.03115
Purog Kangri,mountain,6929,89.20998,33.91998
